confidence_score,interaction_type,partner_in_mosaic,partner_symbol,source_db,target_id,updated_at
686,physical,False,TTN,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
685,physical,False,TCAP,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
684,physical,False,ABCD4,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
677,physical,False,PLN,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
674,physical,False,ACTN2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
668,physical,False,ABCA2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
666,physical,False,ABCG5,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
665,physical,False,ATP2A2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
664,physical,False,KCNE5,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
660,physical,False,TPM1,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
658,physical,False,KCNJ2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
656,physical,False,ABCB6,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
655,physical,False,ABCG8,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
654,physical,False,MYH7,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
653,physical,False,ATP1A2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
652,physical,False,TNNI3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
652,physical,False,TNNT2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
651,physical,False,ACTC1,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
643,physical,False,KCNE3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
637,physical,False,HCN4,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
637,physical,False,KCNJ5,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
634,physical,False,SCN3B,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
633,physical,False,RANGRF,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
632,physical,False,CACNA2D1,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
631,physical,False,FKTN,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
626,physical,False,SCN1B,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
626,physical,False,ABCB8,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
619,physical,False,NUDCD1,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
617,physical,False,GPD1L,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
614,physical,False,ATP1A4,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
609,physical,False,FXYD2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
609,physical,False,KCND3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
608,physical,False,MYH6,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
605,physical,False,ATP1A1,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
604,physical,True,KCNH2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
601,physical,False,ATP1A3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
600,physical,False,ATP12A,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
999,physical,False,CRK,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
999,physical,False,GRB2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
998,physical,False,CRKL,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
998,physical,False,ABI1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
997,physical,False,RIN1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
996,physical,False,CBL,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
996,physical,False,BCR,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
991,physical,False,SHC1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
988,physical,True,ATM,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
983,physical,False,STAT5B,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
983,physical,False,HSP90AA1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
981,physical,False,ABI2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
981,physical,False,ABL2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
980,physical,False,RB1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
980,physical,False,STAT5A,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
963,physical,False,FN1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
963,physical,False,ENAH,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
963,physical,False,EPHA5,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
960,physical,False,EVPL,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
958,physical,False,EPHA3,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
958,physical,False,EPHB2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
958,physical,True,NTRK1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
956,physical,True,BRCA1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
951,physical,False,EPHA2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
949,physical,True,FYN,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
949,physical,False,CTNNB1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
947,physical,False,PIK3C3,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
947,physical,False,EPHB4,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
945,physical,False,EPHA1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
945,physical,False,EPHA4,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
943,physical,False,EPHB3,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
940,physical,False,EPHA8,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
940,physical,False,RAC2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
940,physical,False,EPHB1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
934,physical,False,DOK1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
933,physical,False,EPHA7,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
932,physical,False,ETV6,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
930,physical,False,HSP90AB1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
928,physical,False,ROBO1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
927,physical,False,PRDX1,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
926,physical,False,EPHA6,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
925,physical,False,ROBO2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
919,physical,False,RAC3,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
915,physical,True,NTRK3,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
915,physical,False,RAD51,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
912,physical,False,SHC3,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
910,physical,True,NTRK2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
909,physical,True,TP53,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
909,physical,False,TP73,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
908,physical,False,SHC2,STRING,ABL1,2026-05-26 12:34:10.431009+00:00
999,physical,True,AGT,STRING,ACE,2026-05-26 12:34:10.431009+00:00
995,physical,False,KNG1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
987,physical,True,REN,STRING,ACE,2026-05-26 12:34:10.431009+00:00
974,physical,True,AGTR1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
956,physical,True,ACE2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
948,physical,True,AGTR2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
917,physical,True,BDKRB2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
912,physical,False,ALB,STRING,ACE,2026-05-26 12:34:10.431009+00:00
891,physical,False,NR3C2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
889,physical,False,MMEL1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
882,physical,False,MME,STRING,ACE,2026-05-26 12:34:10.431009+00:00
878,physical,False,CRP,STRING,ACE,2026-05-26 12:34:10.431009+00:00
876,physical,True,APOE,STRING,ACE,2026-05-26 12:34:10.431009+00:00
874,physical,False,BDKRB1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
874,physical,False,DPP4,STRING,ACE,2026-05-26 12:34:10.431009+00:00
867,physical,False,CYP11B2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
862,physical,False,TMPRSS2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
849,physical,True,INS,STRING,ACE,2026-05-26 12:34:10.431009+00:00
846,physical,False,CMA1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
842,physical,False,KLK4,STRING,ACE,2026-05-26 12:34:10.431009+00:00
836,physical,False,NPPA,STRING,ACE,2026-05-26 12:34:10.431009+00:00
823,physical,True,ADAM17,STRING,ACE,2026-05-26 12:34:10.431009+00:00
818,physical,False,MTHFR,STRING,ACE,2026-05-26 12:34:10.431009+00:00
816,physical,False,ANPEP,STRING,ACE,2026-05-26 12:34:10.431009+00:00
815,physical,False,GDF11,STRING,ACE,2026-05-26 12:34:10.431009+00:00
811,physical,False,MAS1L,STRING,ACE,2026-05-26 12:34:10.431009+00:00
810,physical,False,NPPB,STRING,ACE,2026-05-26 12:34:10.431009+00:00
806,physical,True,HMGCR,STRING,ACE,2026-05-26 12:34:10.431009+00:00
803,physical,False,FURIN,STRING,ACE,2026-05-26 12:34:10.431009+00:00
799,physical,False,ADD1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
798,physical,False,CLTRN,STRING,ACE,2026-05-26 12:34:10.431009+00:00
783,physical,False,TAC1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
780,physical,False,SLC5A2,STRING,ACE,2026-05-26 12:34:10.431009+00:00
779,physical,False,GNB3,STRING,ACE,2026-05-26 12:34:10.431009+00:00
779,physical,False,EDN1,STRING,ACE,2026-05-26 12:34:10.431009+00:00
776,physical,True,IL6,STRING,ACE,2026-05-26 12:34:10.431009+00:00
774,physical,True,SELE,STRING,ACE,2026-05-26 12:34:10.431009+00:00
771,physical,False,ATP12A,STRING,ACE,2026-05-26 12:34:10.431009+00:00
771,physical,False,ATP4A,STRING,ACE,2026-05-26 12:34:10.431009+00:00
765,physical,False,ACTB,STRING,ACE,2026-05-26 12:34:10.431009+00:00
763,physical,False,CALML4,STRING,ACE,2026-05-26 12:34:10.431009+00:00
760,physical,False,CALM3,STRING,ACE,2026-05-26 12:34:10.431009+00:00
756,physical,False,CALML5,STRING,ACE,2026-05-26 12:34:10.431009+00:00
755,physical,False,CALML3,STRING,ACE,2026-05-26 12:34:10.431009+00:00
755,physical,False,CALML6,STRING,ACE,2026-05-26 12:34:10.431009+00:00
743,physical,True,APOB,STRING,ACE,2026-05-26 12:34:10.431009+00:00
733,physical,False,MMP9,STRING,ACE,2026-05-26 12:34:10.431009+00:00
733,physical,True,ACHE,STRING,ACE,2026-05-26 12:34:10.431009+00:00
731,physical,False,NOS3,STRING,ACE,2026-05-26 12:34:10.431009+00:00
730,physical,False,NLN,STRING,ACE,2026-05-26 12:34:10.431009+00:00
999,physical,False,SLC6A19,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
999,physical,False,DPP4,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
999,physical,True,AGT,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
999,physical,False,TMPRSS2,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
998,physical,False,SLC6A20,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
996,physical,True,AGTR1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
994,physical,False,ERVW-1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
992,physical,False,ERV3-1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
992,physical,False,ERVFRD-1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
983,physical,False,CLEC4M,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
972,physical,False,PRCP,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
968,physical,False,BSG,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
964,physical,False,MME,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
963,physical,True,IL2,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
961,physical,False,MEP1A,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
960,physical,True,REN,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
959,physical,False,DEFA5,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
957,physical,False,MEP1B,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
956,physical,True,ACE,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
955,physical,False,XPNPEP2,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
954,physical,True,AGTR2,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
948,physical,False,HSPA5,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
948,physical,False,KNG1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
939,physical,False,ANPEP,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
905,physical,False,ITGB1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
905,physical,False,IGHV3-72,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
904,physical,False,FURIN,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
900,physical,False,IGHV3-43D,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
887,physical,True,ADAM17,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
881,physical,False,ATXN1L,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
876,physical,False,CRP,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
862,physical,False,ALB,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
845,physical,False,APLN,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
838,physical,True,IL6,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
824,physical,False,NRP1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
823,physical,False,IGLL5,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
815,physical,False,PDZK1,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
805,physical,False,CTSL,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
799,physical,False,NTS,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
791,physical,False,CD8A,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
790,physical,False,MAS1L,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
788,physical,False,CD4,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
788,physical,False,ITGA5,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
779,physical,False,CD209,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
774,physical,False,PPP1CA,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
770,physical,True,TNF,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
768,physical,False,ENPEP,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
768,physical,False,SNX27,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
767,physical,False,CTSS,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
764,physical,False,IL1B,STRING,ACE2,2026-05-26 12:34:10.431009+00:00
989,physical,False,COLQ,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
937,physical,True,APP,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
933,physical,False,CHAT,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
916,physical,False,GPCPD1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
912,physical,False,CHKA,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
910,physical,True,MAOB,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
909,physical,False,CHKB,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
904,physical,False,PHOSPHO1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
895,physical,False,HSPG2,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
867,physical,False,DOK7,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
865,physical,False,MUSK,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
854,physical,True,PNPLA6,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
846,physical,False,SLC18A3,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
833,physical,False,AGRN,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
831,physical,True,BACE1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
821,physical,False,GHRL,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
817,physical,True,MAPT,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
790,physical,False,SI,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
789,physical,False,MGAM,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
769,physical,True,APOE,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
761,physical,True,MAOA,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
751,physical,True,PSEN1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
742,physical,False,RAPSN,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
739,physical,True,XDH,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
733,physical,True,ACE,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
725,physical,False,NRXN2,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
712,physical,False,NRXN1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
708,physical,False,CD55,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
702,physical,False,GPX8,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
701,physical,False,GPX7,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
695,physical,False,PXDN,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
695,physical,False,PXDNL,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
692,physical,False,GPT,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
690,physical,False,GPX5,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
690,physical,False,GPX6,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
687,physical,False,GPX3,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
680,physical,False,GPX2,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
672,physical,False,BDNF,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
657,physical,False,AFP,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
639,physical,True,TH,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
638,physical,False,GAL,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
637,physical,False,AMY2B,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
637,physical,False,RACK1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
637,physical,False,AMY2A,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
635,physical,False,PVALB,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
635,physical,False,NGF,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
634,physical,False,AMY1B,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
620,physical,False,TAC1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
620,physical,False,PRIMA1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
611,physical,False,PON1,STRING,ACHE,2026-05-26 12:34:10.431009+00:00
748,physical,False,DCTN2,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
740,physical,False,ACTR10,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
698,physical,False,DCTN4,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
684,physical,False,DCTN6,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
673,physical,False,DCTN5,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
668,physical,False,XAGE3,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
662,physical,False,ACTR1B,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
662,physical,False,ACTR1A,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
607,physical,False,DCTN3,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
578,physical,False,LOC100509620,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
571,physical,False,ACTG2,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
566,physical,False,ACTA2,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
566,physical,False,ACTC1,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
566,physical,False,ACTL7A,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
566,physical,False,ACTA1,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
566,physical,False,ACTL7B,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
564,physical,False,ACTL9,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
562,physical,False,CT83,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
560,physical,False,PASD1,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
540,physical,False,ACTL10,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
537,physical,False,CERT1,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
517,physical,False,CT45A1,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
516,physical,False,CT55,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
505,physical,False,MYL1,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
503,physical,False,GAGE2A,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
501,physical,False,TSPY3,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
483,physical,False,PFN4,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
465,physical,False,OIP5,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
459,physical,False,ACTR8,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
448,physical,False,ACTR2,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
447,physical,False,XAGE1A,STRING,ACTL8,2026-05-26 12:34:10.431009+00:00
