clinical_status,compound_id,indication_id,max_phase,source_doc_id
preclinical,CHEMBL4650419,mesh_d002289,0,chembl:CHEMBL4650419
preclinical,CHEMBL4650419,mesh_d006528,0,chembl:CHEMBL4650419
preclinical,CHEMBL4650419,mesh_d055752,0,chembl:CHEMBL4650419
preclinical,CHEMBL4650419,mesh_d015179,0,chembl:CHEMBL4650419
preclinical,CHEMBL4650470,mesh_d003920,0,chembl:CHEMBL4650470
preclinical,CHEMBL4650470,mesh_d009765,0,chembl:CHEMBL4650470
preclinical,CHEMBL4650470,mesh_d003924,0,chembl:CHEMBL4650470
preclinical,CHEMBL4650472,mesh_d006528,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650472,mesh_d008545,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650472,mesh_d002289,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650472,mesh_d013274,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650472,mesh_d001749,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650472,mesh_d013964,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650472,mesh_d009369,0,chembl:CHEMBL4650472
preclinical,CHEMBL4650483,mesh_d006528,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d009369,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d064726,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d004938,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d013945,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d010190,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d004067,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d021441,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d002289,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650483,mesh_d015179,0,chembl:CHEMBL4650483
preclinical,CHEMBL4650516,mesh_d006528,0,chembl:CHEMBL4650516
preclinical,CHEMBL4650516,mesh_d008223,0,chembl:CHEMBL4650516
preclinical,CHEMBL4650516,mesh_d002294,0,chembl:CHEMBL4650516
preclinical,CHEMBL46516,mesh_d011618,0,chembl:CHEMBL46516
preclinical,CHEMBL46516,mesh_d001007,0,chembl:CHEMBL46516
preclinical,CHEMBL46516,mesh_d003704,0,chembl:CHEMBL46516
preclinical,CHEMBL46516,mesh_d003866,0,chembl:CHEMBL46516
preclinical,CHEMBL46516,mesh_d012559,0,chembl:CHEMBL46516
preclinical,CHEMBL46618,mesh_d054058,0,chembl:CHEMBL46618
preclinical,CHEMBL46618,mesh_d008107,0,chembl:CHEMBL46618
preclinical,CHEMBL46618,mesh_d007674,0,chembl:CHEMBL46618
preclinical,CHEMBL46618,mesh_d003327,0,chembl:CHEMBL46618
preclinical,CHEMBL466659,mesh_d002318,0,chembl:CHEMBL466659
preclinical,CHEMBL4761468,mesh_d002294,0,chembl:CHEMBL4761468
preclinical,CHEMBL4761468,mesh_d002289,0,chembl:CHEMBL4761468
preclinical,CHEMBL4761468,mesh_d008175,0,chembl:CHEMBL4761468
preclinical,CHEMBL4761468,mesh_d002277,0,chembl:CHEMBL4761468
preclinical,CHEMBL4761468,mesh_d008107,0,chembl:CHEMBL4761468
preclinical,CHEMBL4761468,mesh_d009369,0,chembl:CHEMBL4761468
preclinical,CHEMBL4802129,mesh_d009203,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d009101,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d015451,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d009190,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d015470,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d015464,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d001943,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d009369,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802129,mesh_d001327,0,chembl:CHEMBL4802129
preclinical,CHEMBL4802165,mesh_d000230,0,chembl:CHEMBL4802165
preclinical,CHEMBL4802165,mesh_d009369,0,chembl:CHEMBL4802165
preclinical,CHEMBL4802165,mesh_d002289,0,chembl:CHEMBL4802165
preclinical,CHEMBL4802165,mesh_d013274,0,chembl:CHEMBL4802165
preclinical,CHEMBL4802165,mesh_d004938,0,chembl:CHEMBL4802165
preclinical,CHEMBL4802221,mesh_d055752,0,chembl:CHEMBL4802221
preclinical,CHEMBL4802221,mesh_d012516,0,chembl:CHEMBL4802221
preclinical,CHEMBL4802221,mesh_d008545,0,chembl:CHEMBL4802221
preclinical,CHEMBL4802221,mesh_d001749,0,chembl:CHEMBL4802221
preclinical,CHEMBL4802221,mesh_d002583,0,chembl:CHEMBL4802221
preclinical,CHEMBL4802221,mesh_d001661,0,chembl:CHEMBL4802221
preclinical,CHEMBL4802221,mesh_d009369,0,chembl:CHEMBL4802221
preclinical,CHEMBL481611,mesh_d010024,0,chembl:CHEMBL481611
preclinical,CHEMBL481611,mesh_d015663,0,chembl:CHEMBL481611
preclinical,CHEMBL481611,mesh_d051437,0,chembl:CHEMBL481611
preclinical,CHEMBL481611,mesh_d001943,0,chembl:CHEMBL481611
preclinical,CHEMBL481611,mesh_d064129,0,chembl:CHEMBL481611
preclinical,CHEMBL481611,mesh_d010003,0,chembl:CHEMBL481611
preclinical,CHEMBL483158,mesh_d008223,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d011471,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d009447,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d010051,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d009190,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d016411,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d015470,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d002051,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d016403,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d055752,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d009101,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d006258,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d020522,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d010534,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d005185,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d004067,0,chembl:CHEMBL483158
