compound_id,confidence,context_type,mention_count,paper_id
CHEMBL1201572,1.0,abstract,1,40641112
CHEMBL14762,1.0,abstract,1,31915367
CHEMBL413,1.0,abstract,1,31915367
CHEMBL53463,1.0,abstract,1,38365746
CHEMBL189963,1.0,abstract,1,40005476
CHEMBL3545110,1.0,abstract,1,40005476
CHEMBL1536,1.0,abstract,1,37920752
CHEMBL941,1.0,abstract,1,40343114
CHEMBL1642,1.0,abstract,1,40343114
CHEMBL14762,1.0,abstract,1,37611530
CHEMBL2103840,1.0,abstract,1,37104883
CHEMBL53463,1.0,abstract,1,32075913
CHEMBL3990044,1.0,abstract,1,38269271
CHEMBL2108738,1.0,abstract,1,38269271
CHEMBL2103840,1.0,abstract,1,32433863
CHEMBL14762,1.0,abstract,1,32433863
CHEMBL59,1.0,abstract,1,40009667
CHEMBL370805,1.0,abstract,1,40009667
CHEMBL5314341,1.0,abstract,1,40009667
CHEMBL939,1.0,abstract,1,35969940
CHEMBL2103840,1.0,abstract,1,34151738
CHEMBL1201631,1.0,abstract,1,36054143
CHEMBL1200511,1.0,abstract,1,36202220
CHEMBL490,1.0,abstract,1,36399825
CHEMBL1536,1.0,abstract,1,38203278
CHEMBL189963,1.0,abstract,1,36043521
CHEMBL3545110,1.0,abstract,1,36043521
CHEMBL3301610,1.0,abstract,1,36043521
CHEMBL189963,1.0,abstract,1,38961064
CHEMBL189963,1.0,abstract,1,38277141
CHEMBL4466233,1.0,abstract,1,38480701
CHEMBL5314341,1.0,abstract,1,40014709
CHEMBL413,1.0,abstract,1,40014709
CHEMBL3545110,1.0,abstract,1,39538367
CHEMBL2396661,1.0,abstract,1,40121890
CHEMBL2325741,1.0,abstract,1,40121890
CHEMBL189963,1.0,abstract,1,39123221
CHEMBL3301610,1.0,abstract,1,39123221
CHEMBL3545110,1.0,abstract,1,39123221
CHEMBL3301610,1.0,abstract,1,38633610
CHEMBL3545110,1.0,abstract,1,38633610
CHEMBL189963,1.0,abstract,1,38633610
CHEMBL3301610,1.0,abstract,1,37406085
CHEMBL189963,1.0,abstract,1,35670349
CHEMBL3545110,1.0,abstract,1,35670349
CHEMBL3301610,1.0,abstract,1,35670349
CHEMBL189963,1.0,abstract,1,38017459
CHEMBL1201631,1.0,abstract,1,37113468
CHEMBL3301610,1.0,abstract,1,37129951
CHEMBL502835,1.0,abstract,2,37152616
CHEMBL24,1.0,abstract,1,32662682
CHEMBL521606,1.0,abstract,1,32662682
CHEMBL499,1.0,abstract,1,32662682
CHEMBL1560,1.0,abstract,1,32662682
CHEMBL1201631,1.0,abstract,1,37223012
CHEMBL1607273,1.0,abstract,1,37229490
CHEMBL189963,1.0,abstract,1,37974598
CHEMBL3301610,1.0,abstract,1,37974598
CHEMBL3545110,1.0,abstract,1,37974598
CHEMBL189963,1.0,abstract,1,40367730
CHEMBL3545110,1.0,abstract,1,40367730
CHEMBL3301610,1.0,abstract,1,40367730
CHEMBL3301610,1.0,abstract,1,41385991
CHEMBL189963,1.0,abstract,1,40149372
CHEMBL3545110,1.0,abstract,1,40149372
CHEMBL3301610,1.0,abstract,1,40149372
CHEMBL189963,1.0,abstract,1,35530846
CHEMBL3545110,1.0,abstract,1,35530846
CHEMBL3301610,1.0,abstract,1,35530846
CHEMBL3301610,1.0,abstract,1,40141282
CHEMBL189963,1.0,abstract,1,40141282
CHEMBL189963,1.0,abstract,1,39697231
CHEMBL3545110,1.0,abstract,1,39697231
CHEMBL575060,1.0,abstract,1,39947403
CHEMBL3301610,1.0,abstract,1,39947403
CHEMBL189963,1.0,abstract,1,36978197
CHEMBL3137309,1.0,abstract,1,37435040
CHEMBL3894860,1.0,abstract,1,39760276
CHEMBL189963,1.0,abstract,1,40735999
CHEMBL3545110,1.0,abstract,1,40735999
CHEMBL3301610,1.0,abstract,1,40735999
CHEMBL189963,1.0,abstract,1,36185294
CHEMBL3545110,1.0,abstract,1,36185294
CHEMBL3301610,1.0,abstract,1,36185294
CHEMBL3301610,1.0,abstract,1,41282629
CHEMBL189963,1.0,abstract,1,41282629
CHEMBL3545110,1.0,abstract,1,41282629
CHEMBL413,1.0,abstract,1,40077420
CHEMBL3301610,1.0,abstract,1,40222048
CHEMBL189963,1.0,abstract,1,32783046
CHEMBL150,1.0,abstract,1,40143103
CHEMBL3545110,1.0,abstract,1,37293258
CHEMBL189963,1.0,abstract,1,37293258
CHEMBL3301610,1.0,abstract,1,37293258
CHEMBL3545097,1.0,abstract,1,35080986
CHEMBL189963,1.0,abstract,1,35080986
CHEMBL3894860,1.0,abstract,1,34234565
CHEMBL189963,1.0,abstract,1,41682002
CHEMBL3545110,1.0,abstract,1,41682002
CHEMBL3301610,1.0,abstract,1,41682002
CHEMBL3989868,1.0,abstract,1,41682002
CHEMBL1201585,1.0,abstract,1,41682002
CHEMBL4297844,1.0,abstract,1,41682002
CHEMBL189963,1.0,abstract,1,37298855
CHEMBL3545110,1.0,abstract,1,35686110
CHEMBL3301610,1.0,abstract,1,40768821
