pathway_id,role,target_id
R-HSA-912526,participant,PIK3CA
R-HSA-512988,participant,PIK3CA
R-HSA-8964041,participant,APOB
R-HSA-8964038,participant,APOB
R-HSA-1251985,participant,APOE
R-HSA-8963888,participant,APOE
R-HSA-8964058,participant,APOE
R-HSA-975634,participant,APOE
R-HSA-8963901,participant,APOE
R-HSA-381426,participant,APP
R-HSA-5674135,participant,ARAF
R-HSA-6796648,participant,ATM
R-HSA-912446,participant,ATM
R-HSA-3371453,participant,ATM
R-HSA-77387,participant,ATPASE FAM
R-HSA-917977,participant,ATPASE FAM
R-HSA-5685939,participant,PARP1
R-HSA-5696394,participant,PARP1
R-HSA-110362,participant,PARP1
R-HSA-5685939,participant,PARP2
R-HSA-110362,participant,PARP2
R-HSA-9768727,participant,PCSK7
R-HSA-9842640,participant,PIK3CA
R-HSA-2424491,participant,PIK3CA
R-HSA-112399,participant,PIK3CA
R-HSA-5673001,participant,PIK3CA
R-HSA-202424,participant,PIK3CA
R-HSA-186763,participant,PIK3CA
R-HSA-9607240,participant,PIK3CA
R-HSA-9703465,participant,PIK3CA
R-HSA-9856530,participant,PIK3CA
R-HSA-389357,participant,PIK3CA
R-HSA-1433557,participant,PIK3CA
R-HSA-416476,participant,PIK3CA
R-HSA-8853659,participant,PIK3CA
R-HSA-9670439,participant,PIK3CA
R-HSA-9013149,participant,PIK3CA
R-HSA-9013404,participant,PIK3CA
R-HSA-1963642,participant,PIK3CA
R-HSA-180292,participant,PIK3CA
R-HSA-9028335,participant,PIK3CA
R-HSA-1250342,participant,PIK3CA
R-HSA-9603381,participant,PIK3CA
R-HSA-8851907,participant,PIK3CA
R-HSA-9664565,participant,PIK3CA
R-HSA-9665348,participant,PIK3CA
R-HSA-1236382,participant,PIK3CA
R-HSA-5637810,participant,PIK3CA
R-HSA-9680350,participant,PIK3CA
R-HSA-6811558,participant,PIK3CG
R-HSA-2219530,participant,PIK3CG
R-HSA-9927354,participant,PIK3CG
R-HSA-114604,participant,PIK3CG
R-HSA-9027276,participant,PIK3CG
R-HSA-1169408,participant,PIN1
R-HSA-936440,participant,PIN1
R-HSA-6804756,participant,PIN1
R-HSA-8866423,participant,APOB
R-HSA-8964046,participant,APOB
R-HSA-3000480,participant,APOE
R-HSA-8957275,participant,APP
R-HSA-5625886,participant,AR
R-HSA-5673000,participant,ARAF
R-HSA-9726842,participant,ARAF
R-HSA-8866910,participant,ATAD2
R-HSA-2559586,participant,ATM
R-HSA-983712,participant,ATPASE FAM
R-HSA-1222556,participant,ATPASE FAM
R-HSA-9639288,participant,ATPASE FAM
R-HSA-167590,participant,ATPASE FAM
R-HSA-182218,participant,ATPASE FAM
R-HSA-9857377,participant,ATPASE FAM
R-HSA-9636467,participant,ATPASE FAM
R-HSA-6804756,participant,ATR
R-HSA-69473,participant,ATR
R-HSA-5693607,participant,ATR
R-HSA-5693616,participant,ATR
R-HSA-5685938,participant,ATR
R-HSA-9709570,participant,ATR
R-HSA-176187,participant,ATR
R-HSA-6783310,participant,ATR
R-HSA-6796648,participant,ATR
R-HSA-1221632,participant,ATR
R-HSA-3371453,participant,ATR
R-HSA-141444,participant,AURKB
R-HSA-5663220,participant,AURKB
R-HSA-68877,participant,AURKB
R-HSA-2467813,participant,AURKB
R-HSA-2500257,participant,AURKB
R-HSA-9648025,participant,AURKB
R-HSA-174178,participant,AURKB
R-HSA-4420097,participant,AXL
R-HSA-9918485,participant,AXL
R-HSA-977225,participant,BACE1
R-HSA-844455,participant,BCL2
R-HSA-6785807,participant,BCL2
R-HSA-111453,participant,BCL2
R-HSA-111447,participant,BCL2
R-HSA-9634638,participant,BCL2
R-HSA-9818030,participant,BCL2
R-HSA-9824594,participant,BCL2
R-HSA-9018519,participant,BCL2
R-HSA-844455,participant,BCL2L1
R-HSA-6785807,participant,BCL2L1
R-HSA-111453,participant,BCL2L1
R-HSA-9648002,participant,BCL2L1
R-HSA-418594,participant,BDKRB2
R-HSA-375276,participant,BDKRB2
R-HSA-416476,participant,BDKRB2
R-HSA-9933947,participant,BICRA
R-HSA-1295596,participant,BRAF
R-HSA-170984,participant,BRAF
R-HSA-187706,participant,BRAF
R-HSA-6802955,participant,BRAF
R-HSA-5693565,participant,BRCA1
R-HSA-5689901,participant,BRCA1
R-HSA-6796648,participant,BRCA1
R-HSA-8953750,participant,BRCA1
R-HSA-1221632,participant,BRCA1
R-HSA-912446,participant,BRCA1
R-HSA-8951664,participant,BRCA1
R-HSA-9755511,participant,BRCA1
R-HSA-9825895,participant,BRCA1
R-HSA-9699150,participant,BRCA1
R-HSA-3108214,participant,BRCA1
R-HSA-5693616,participant,BRCA2
R-HSA-5685939,participant,BRCA2
R-HSA-912446,participant,BRCA2
R-HSA-9909649,participant,BRD4
R-HSA-9679191,participant,BRD4
R-HSA-5693565,participant,BREAST CAN
R-HSA-5689901,participant,BREAST CAN
R-HSA-6796648,participant,BREAST CAN
R-HSA-8953750,participant,BREAST CAN
R-HSA-1221632,participant,BREAST CAN
R-HSA-912446,participant,BREAST CAN
R-HSA-8951664,participant,BREAST CAN
R-HSA-9755511,participant,BREAST CAN
R-HSA-9825895,participant,BREAST CAN
R-HSA-9699150,participant,BREAST CAN
R-HSA-3108214,participant,BREAST CAN
R-HSA-1237044,participant,CA2
R-HSA-1247673,participant,CA2
R-HSA-1475029,participant,CA2
R-HSA-9925563,participant,CA2
R-HSA-1234158,participant,CA9
R-HSA-1475029,participant,CA9
R-HSA-419037,participant,CACNA1C
R-HSA-422356,participant,CACNA1C
R-HSA-400042,participant,CACNA1C
R-HSA-5576892,participant,CACNA1C
R-HSA-5576893,participant,CACNA1C
R-HSA-419037,participant,CACNA1D
R-HSA-422356,participant,CACNA1D
R-HSA-400042,participant,CACNA1D
R-HSA-9662360,participant,CACNA1D
R-HSA-1169091,participant,CANCER-REL
R-HSA-69231,participant,CCND1
R-HSA-9661069,participant,CCND1
R-HSA-9754119,participant,CCND1
R-HSA-8878166,participant,CCND1
R-HSA-75815,participant,CCND1
R-HSA-1912408,participant,CCND1
R-HSA-8934593,participant,CCND1
R-HSA-8951936,participant,CCND1
R-HSA-3214858,participant,CCND1
R-HSA-6785807,participant,CCND1
R-HSA-380108,participant,CCRL2
R-HSA-9929356,participant,CD274
R-HSA-9909620,participant,CD274
R-HSA-9931269,participant,CD274
R-HSA-9929491,participant,CD274
R-HSA-9931295,participant,CD274
R-HSA-141430,participant,CDC16
R-HSA-174184,participant,CDC16
R-HSA-179409,participant,CDC16
R-HSA-176409,participant,CDC16
R-HSA-174178,participant,CDC16
R-HSA-176407,participant,CDC16
R-HSA-69017,participant,CDC16
R-HSA-174154,participant,CDC16
R-HSA-2467813,participant,CDC16
R-HSA-174048,participant,CDC16
R-HSA-983168,participant,CDC16
R-HSA-141444,participant,CDC20
R-HSA-5663220,participant,CDC20
R-HSA-68877,participant,CDC20
R-HSA-2467813,participant,CDC20
R-HSA-2500257,participant,CDC20
R-HSA-9648025,participant,CDC20
R-HSA-174184,participant,CDC20
R-HSA-983168,participant,CDC20
R-HSA-176407,participant,CDC20
R-HSA-174048,participant,CDC20
R-HSA-141405,participant,CDC20
R-HSA-176407,participant,CDC23
R-HSA-69017,participant,CDC23
R-HSA-2467813,participant,CDC23
R-HSA-174048,participant,CDC23
R-HSA-69205,participant,CDK1
R-HSA-1362300,participant,CDK1
R-HSA-176187,participant,CDK2
R-HSA-68962,participant,CDK2
R-HSA-69656,participant,CDK2
R-HSA-6804116,participant,CDK2
R-HSA-2559586,participant,CDK2
R-HSA-1538133,participant,CDK2
R-HSA-8878166,participant,CDK4
R-HSA-912446,participant,CDK4
R-HSA-9616222,participant,CDK4
R-HSA-9931529,participant,CDK5
R-HSA-9931530,participant,CDK5
R-HSA-9031628,participant,CDK5
R-HSA-210990,participant,PECAM1
R-HSA-6798695,participant,PECAM1
R-HSA-432142,participant,PECAM1
R-HSA-114608,participant,PECAM1
R-HSA-373753,participant,PIK3CA
R-HSA-210993,participant,PIK3CA
R-HSA-2730905,participant,PIK3CA
R-HSA-4420097,participant,PIK3CA
R-HSA-2029485,participant,PIK3CA
R-HSA-198203,participant,PIK3CA
R-HSA-201556,participant,PIK3CA
R-HSA-109704,participant,PIK3CA
R-HSA-1257604,participant,PIK3CA
R-HSA-9725370,participant,PIK3CA
R-HSA-5654720,participant,PIK3CA
R-HSA-5654689,participant,PIK3CA
R-HSA-5654695,participant,PIK3CA
R-HSA-5654710,participant,PIK3CA
R-HSA-1839117,participant,PIK3CA
R-HSA-5655302,participant,PIK3CA
R-HSA-5655291,participant,PIK3CA
R-HSA-9703648,participant,PIK3CA
R-HSA-912631,participant,PIK3CA
R-HSA-1660499,participant,PIK3CA
R-HSA-9009391,participant,PIK3CA
R-HSA-9027276,participant,PIK3CA
R-HSA-1257604,participant,PIK3CG
R-HSA-389357,participant,PIK3CG
R-HSA-392451,participant,PIK3CG
R-HSA-1660499,participant,PIK3CG
R-HSA-141430,participant,CDC20
R-HSA-179409,participant,CDC20
R-HSA-174178,participant,CDC20
R-HSA-174154,participant,CDC20
R-HSA-174184,participant,CDC23
R-HSA-176409,participant,CDC23
R-HSA-174154,participant,CDC23
R-HSA-983168,participant,CDC23
R-HSA-69563,participant,CDK2
R-HSA-2559582,participant,CDK2
R-HSA-9940951,participant,CDK2AP1
R-HSA-9937850,participant,CDK2AP1
R-HSA-69231,participant,CDK4
R-HSA-3214858,participant,CDK4
R-HSA-381340,participant,CDK4
R-HSA-399956,participant,CDK5
