dependency_fraction,mean_gene_effect,n_models,source,target_id,updated_at
0.0041390728476821195,-0.08815399192995192,1208,DepMap,ABCB1,2026-05-26 11:14:34.585491+00:00
0.0,-0.02312439325897609,1208,DepMap,ABCC9,2026-05-26 11:14:34.585491+00:00
0.011589403973509934,-0.027580957237029708,1208,DepMap,ABL1,2026-05-26 11:14:34.585491+00:00
0.0074503311258278145,-0.10361763154846595,1208,DepMap,ACE,2026-05-26 11:14:34.585491+00:00
0.0,0.21864030850931776,1208,DepMap,ACE2,2026-05-26 11:14:34.585491+00:00
0.09602649006622517,-0.23425813035976364,1208,DepMap,ACHE,2026-05-26 11:14:34.585491+00:00
0.0041390728476821195,-0.013594475848444514,1208,DepMap,ACTL8,2026-05-26 11:14:34.585491+00:00
0.0074503311258278145,0.03805725978995942,1208,DepMap,ADAM17,2026-05-26 11:14:34.585491+00:00
0.0,0.09243826202304373,1208,DepMap,ADIPOQ,2026-05-26 11:14:34.585491+00:00
0.0033112582781456954,-0.025280303714722452,1208,DepMap,ADORA1,2026-05-26 11:14:34.585491+00:00
0.0041390728476821195,-0.06223749863113373,1208,DepMap,ADORA2A,2026-05-26 11:14:34.585491+00:00
0.0,0.11850223941732509,1208,DepMap,ADRA1A,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,-0.011446791366281612,1208,DepMap,ADRA2A,2026-05-26 11:14:34.585491+00:00
0.0,0.10294406644284029,1208,DepMap,ADRB1,2026-05-26 11:14:34.585491+00:00
0.0041390728476821195,-0.003299584359008731,1208,DepMap,ADRB2,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.00849026413081992,1208,DepMap,AGT,2026-05-26 11:14:34.585491+00:00
0.0041390728476821195,-0.06673256629491987,1208,DepMap,AGTR1,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.03638192641533408,1208,DepMap,AGTR2,2026-05-26 11:14:34.585491+00:00
0.01076158940397351,0.084210338633283,1208,DepMap,AKR1B1,2026-05-26 11:14:34.585491+00:00
0.03394039735099338,-0.08657614510773096,1208,DepMap,AKT1,2026-05-26 11:14:34.585491+00:00
0.026490066225165563,-0.0733083726509068,1208,DepMap,AKT2,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,0.09143525935534232,1208,DepMap,AKT3,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,-0.048776103538027665,1208,DepMap,ALDH5A1,2026-05-26 11:14:34.585491+00:00
0.9668874172185431,-1.4640258796175813,1208,DepMap,ALDOA,2026-05-26 11:14:34.585491+00:00
0.008278145695364239,-0.08782069646699636,1208,DepMap,ALK,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.09802833182973553,1208,DepMap,ALOX12,2026-05-26 11:14:34.585491+00:00
0.0074503311258278145,-0.10367226846862569,1208,DepMap,ALOX5,2026-05-26 11:14:34.585491+00:00
0.005794701986754967,0.021124608245959187,1208,DepMap,ANGPTL3,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.01675867731613978,1208,DepMap,APOA1,2026-05-26 11:14:34.585491+00:00
0.0,0.03550026997529057,1208,DepMap,APOB,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,0.010451301422838023,1208,DepMap,APOE,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.07761696538640218,1208,DepMap,APP,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.09539717864314648,1208,DepMap,AR,2026-05-26 11:14:34.585491+00:00
0.0,0.09367261220984435,1208,DepMap,ARAF,2026-05-26 11:14:34.585491+00:00
0.0173841059602649,-0.1410720437600432,1208,DepMap,ATAD2,2026-05-26 11:14:34.585491+00:00
0.011589403973509934,-0.015087871085644605,1208,DepMap,ATM,2026-05-26 11:14:34.585491+00:00
0.9743377483443708,-1.107376660329954,1208,DepMap,ATR,2026-05-26 11:14:34.585491+00:00
0.028973509933774833,-0.16164348114585803,1208,DepMap,ATXN2,2026-05-26 11:14:34.585491+00:00
0.9966887417218543,-2.1974568412523454,1208,DepMap,AURKB,2026-05-26 11:14:34.585491+00:00
0.01076158940397351,-0.04457299471743636,1208,DepMap,AXL,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,-0.09599480811508072,1208,DepMap,BACE1,2026-05-26 11:14:34.585491+00:00
0.0,0.06827327647195515,1208,DepMap,BACE2,2026-05-26 11:14:34.585491+00:00
0.033112582781456956,-0.03618173501122399,1208,DepMap,BCL2,2026-05-26 11:14:34.585491+00:00
0.8650662251655629,-1.1712006126426384,1208,DepMap,BCL2L1,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.060382497318919114,1208,DepMap,BDKRB2,2026-05-26 11:14:34.585491+00:00
0.005794701986754967,0.08887877567520498,1208,DepMap,BICRA,2026-05-26 11:14:34.585491+00:00
0.08609271523178808,-0.1796322274939731,1208,DepMap,BRAF,2026-05-26 11:14:34.585491+00:00
0.4478476821192053,-0.49217197442945415,1208,DepMap,BRCA1,2026-05-26 11:14:34.585491+00:00
0.5281456953642384,-0.5178570418749018,1208,DepMap,BRCA2,2026-05-26 11:14:34.585491+00:00
0.9470198675496688,-1.0147936014789656,1208,DepMap,BRD4,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,-0.011850206035359911,1208,DepMap,BRDT,2026-05-26 11:14:34.585491+00:00
0.0,0.02892841232360655,1208,DepMap,CA2,2026-05-26 11:14:34.585491+00:00
0.004966887417218543,-0.07667750461554397,1208,DepMap,CA9,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.01669206433886202,1208,DepMap,CACNA1C,2026-05-26 11:14:34.585491+00:00
0.0033112582781456954,-0.0372336984630713,1208,DepMap,CACNA1D,2026-05-26 11:14:34.585491+00:00
0.7284768211920529,-1.2459189166085989,1208,DepMap,CCND1,2026-05-26 11:14:34.585491+00:00
0.0,-0.0031265566820195554,1208,DepMap,CCRL2,2026-05-26 11:14:34.585491+00:00
0.0,0.1797959895191332,1208,DepMap,CD274,2026-05-26 11:14:34.585491+00:00
1.0,-2.4288181032137803,1208,DepMap,CDC16,2026-05-26 11:14:34.585491+00:00
1.0,-2.1227526640628724,1208,DepMap,CDC20,2026-05-26 11:14:34.585491+00:00
1.0,-2.2292769796578527,1208,DepMap,CDC23,2026-05-26 11:14:34.585491+00:00
0.0074503311258278145,-0.10361891419087402,1208,DepMap,CDCA2,2026-05-26 11:14:34.585491+00:00
1.0,-2.600306203735604,1208,DepMap,CDK1,2026-05-26 11:14:34.585491+00:00
0.7110927152317881,-0.7322187452598604,1208,DepMap,CDK2,2026-05-26 11:14:34.585491+00:00
0.020695364238410598,-0.16147870902501113,1208,DepMap,CDK2AP1,2026-05-26 11:14:34.585491+00:00
0.5802980132450332,-0.7310764547481072,1208,DepMap,CDK4,2026-05-26 11:14:34.585491+00:00
0.006622516556291391,-0.08425251687248698,1208,DepMap,CDK5,2026-05-26 11:14:34.585491+00:00
0.5206953642384106,-0.6323275685814961,1208,DepMap,CDK6,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,0.15969203791238787,1208,DepMap,CDKN2A,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.08225548219544529,1208,DepMap,CFTR,2026-05-26 11:14:34.585491+00:00
0.9991721854304636,-1.7663801789926252,1208,DepMap,CHEK1,2026-05-26 11:14:34.585491+00:00
0.0,0.21951236553845363,1208,DepMap,CHEK2,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,-0.09371653714138065,1208,DepMap,CHRM1,2026-05-26 11:14:34.585491+00:00
0.0,0.06013428731804861,1208,DepMap,CHRM2,2026-05-26 11:14:34.585491+00:00
0.0,0.05928207614205062,1208,DepMap,CHRM3,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,-0.060080959987496,1208,DepMap,CHRNA4,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.0011542866439448033,1208,DepMap,CHRNA7,2026-05-26 11:14:34.585491+00:00
0.042218543046357616,-0.10684426877562299,1208,DepMap,CHUK,2026-05-26 11:14:34.585491+00:00
