adme_flags,chembl_id,compound_type,created_at,first_approval,hba,hbd,id,inchikey,indication_class,logp,max_phase,modality,molecular_weight,molecule_type,name,pchembl_value,pref_name,psa,ro5_violations,selectivity_profile,series_id,smiles,synonyms,trade_names,updated_at,withdrawn_flag
,CHEMBL85,,2026-04-17 03:31:27.784675+00:00,1993,,,CHEMBL85,RAPZEAPATHNIPO-UHFFFAOYSA-N,,,4,small_molecule,,,RISPERIDONE,,RISPERIDONE,,,,,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,,"[""Okedi"",""Perseris kit"",""Risperdal"",""Risperdal consta"",""Risperdal consta long acting"",""Risperdal m"",""Risperdal m-tab"",""Risperdal quicklet"",""Risperidone"",""Risvan"",""Rykindo"",""Uzedy""]",2026-04-17 03:31:27.784675+00:00,False
,CHEMBL3989686,Small molecule,2026-04-21 13:36:49.232916+00:00,,,,CHEMBL3989686,UXIPFQUBOVWAQW-UEBLJOKOSA-N,,,3,covalent,,,IFERANSERIN,,IFERANSERIN,,,,,CN1CCCC[C@H]1CCc1ccccc1NC(=O)/C=C/c1ccccc1,"[""Iferanserin"",""Iferanserin"",""Iferanserina"",""Iferanserine"",""S-mpec"",""Ven-309""]",[],2026-04-21 13:36:49.232916+00:00,False
,CHEMBL24828,,2026-04-17 03:31:18.466171+00:00,2011,,,CHEMBL24828,UHTHHESEBZOYNR-UHFFFAOYSA-N,,,4,small_molecule,,,VANDETANIB,,VANDETANIB,,,,,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,"[""Caprelsa"",""GNF-PF-2188"",""NSC-744325"",""NSC-760766"",""Vandetanib"",""Zactima"",""ZD-64"",""ZD-6474"",""ZD6474""]","[""Caprelsa"",""Zactima""]",2026-04-17 03:31:18.466171+00:00,False
,CHEMBL688,Small molecule,2026-04-22 05:28:41.213294+00:00,1968,,,CHEMBL688,IVLVTNPOHDFFCJ-UHFFFAOYSA-N,,,4,small_molecule,,,FENTANYL CITRATE,,FENTANYL CITRATE,,,,,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,"[""Abstral"",""Actiq"",""Effentora"",""Fentanyl buccal"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate"",""Fentanyl citrate cii"",""Fentanyl citrate component of innovar"",""Fentanyl citrate preservative free"",""Fentora"",""Instanyl"",""Instanyl"",""Kw-2246"",""Lazanda"",""Leptanal"",""MCN-JR-4263-49"",""Onsolis"",""Pecfent"",""R-4263"",""Sublimaze"",""Sublimaze preservative free"",""Thalamonal""]","[""Abstral"",""Actiq"",""Effentora"",""Fentanyl citrate"",""Fentanyl citrate component of innovar"",""Fentanyl citrate preservative free"",""Fentora"",""Instanyl"",""Lazanda"",""Onsolis"",""Pecfent"",""Sublimaze"",""Sublimaze preservative free"",""Thalamonal""]",2026-04-22 05:28:41.213294+00:00,False
,CHEMBL714,Small molecule,2026-04-21 13:19:12.008186+00:00,1981,,,CHEMBL714,NDAUXUAQIAJITI-UHFFFAOYSA-N,,,4,small_molecule,,,ALBUTEROL,,ALBUTEROL,,,,,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,"[""Aerolin"",""Aerolin 400"",""Aerolin auto"",""Airomir"",""Airsalb"",""Albuterol"",""Albuterol"",""Albuterol"",""Albuterol"",""Albuterol"",""Albuterol"",""Asmasal clickhaler"",""Asmasal spacehaler"",""Asmaven"",""Asmavent"",""Cobutolin"",""Combivent"",""Combivent udvs"",""Duoneb"",""Etinoline"",""Ipramol steri-neb"",""Kentamol"",""Libetist"",""Maxivent"",""NSC-757417"",""Proventil"",""Proventil hfa"",""Rimasal"",""Salamol e-breathe"",""Salapin"",""Salbulin novolizer"",""Salbutamol"",""Salbutamol"",""Salbutamol"",""Salbutamol"",""Salbutamol"",""Salbutamol"",""Salbutamolum"",""Salbuvent"",""Salipraneb"",""SCH 13949W"",""SCH-13949W"",""Steri-neb salamol"",""Ventmax sr"",""Ventodisks"",""Ventolin"",""Ventolin cr"",""Ventoline"",""Ventolin e-breathe""]","[""Aerolin"",""Aerolin 400"",""Aerolin auto"",""Airomir"",""Airsalb"",""Albuterol"",""Asmasal clickhaler"",""Asmasal spacehaler"",""Asmaven"",""Asmavent"",""Cobutolin"",""Combivent"",""Combivent udvs"",""Ipramol steri-neb"",""Kentamol"",""Libetist"",""Maxivent"",""Proventil"",""Proventil hfa"",""Rimasal"",""Salamol e-breathe"",""Salapin"",""Salbulin novolizer"",""Salbuvent"",""Salipraneb"",""Steri-neb salamol"",""Ventmax sr"",""Ventodisks"",""Ventolin"",""Ventolin cr"",""Ventolin e-breathe""]",2026-04-21 13:19:12.008186+00:00,False
,CHEMBL500,Small molecule,2026-04-21 13:20:18.014252+00:00,1982,,,CHEMBL500,JZQKKSLKJUAGIC-UHFFFAOYSA-N,,,4,small_molecule,,,PINDOLOL,,PINDOLOL,,,,,CC(C)NCC(O)COc1cccc2[nH]ccc12,"[""Apo-pindol"",""Betadren"",""Betapindol"",""Blocklin-l"",""Calvisken"",""Carvisken"",""Decreten"",""Dl-lb-46"",""Dl-pindolol"",""Durapindol"",""Glauco-visken"",""(+/-)-LB-46"",""LB-46"",""NSC-757276"",""Pectobloc"",""Pinbetol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol"",""Pindolol component of viskazide"",""Prinodolol"",""Pynastin"",""(rs)-pindolol"",""Visken""]","[""Betadren"",""Pindolol"",""Pindolol component of viskazide"",""Visken""]",2026-04-21 13:20:18.014252+00:00,False
,CHEMBL2396661,Small molecule,2026-04-21 13:27:36.339778+00:00,2019,,,CHEMBL2396661,STUWGJZDJHPWGZ-LBPRGKRZSA-N,,,4,small_molecule,,,ALPELISIB,,ALPELISIB,,,,,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,"[""Alpelisib"",""Alpelisib"",""Alpelisib"",""Alpelisib"",""Alpelisib"",""Alpelisib"",""Alpelisib"",""Byl-719"",""BYL719"",""NVP-BYL719"",""Piqray"",""Vijoice"",""Vijoice""]","[""Piqray"",""Vijoice""]",2026-04-21 13:27:36.339778+00:00,False
,CHEMBL878,Small molecule,2026-04-22 05:45:34.044390+00:00,1973,,,CHEMBL878,AQCHWTWZEMGIFD-UHFFFAOYSA-N,,,4,small_molecule,,,METOLAZONE,,METOLAZONE,,,,,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,"[""Diulo"",""Metazoline"",""Metenix"",""Metolazona"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metolazone"",""Metozalone"",""Mykrox"",""Normelan"",""NSC-759581"",""Oldren"",""SR 720-22"",""SR-720-22"",""Xuret"",""Zaroxolyn""]","[""Diulo"",""Metenix"",""Metolazone"",""Mykrox"",""Xuret"",""Zaroxolyn""]",2026-04-22 05:45:34.044390+00:00,False
,CHEMBL4084119,Protein,2026-04-22 05:46:59.013283+00:00,2009,,,CHEMBL4084119,YSDQQAXHVYUZIW-QCIJIYAXSA-N,,,4,peptide_like,,,LIRAGLUTIDE,,LIRAGLUTIDE,,,,,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C)[C@@H](C)CC)C(=O)O,"[""Liraglutida"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide"",""Liraglutide component of xultophy 100/3.6"",""Liraglutide (rdna origin)"",""Liraglutide recombinant"",""NN-2211"",""NN2211"",""NN-9924"",""NN9924"",""NNC 90-1170"",""NNC-90-1170"",""Saxenda"",""Victoza""]","[""Liraglutide component of xultophy 100/3.6"",""Saxenda"",""Victoza""]",2026-04-22 05:46:59.013283+00:00,False
,CHEMBL2107349,Small molecule,2026-04-22 04:13:23.334871+00:00,,,,CHEMBL2107349,GXYZREDEYDFJPT-ZMBIFBSDSA-N,,,3,small_molecule,,,LECOZOTAN HYDROCHLORIDE,,LECOZOTAN HYDROCHLORIDE,,,,,C[C@H](CN(C(=O)c1ccc(C#N)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1.Cl,"[""Lecozotan hcl"",""Lecozotan hydrochloride"",""Lecozotan hydrochloride"",""SRA-333""]",[],2026-04-22 04:13:23.334871+00:00,False
,CHEMBL209821,Small molecule,2026-04-22 04:13:21.051236+00:00,,,,CHEMBL209821,SPWZXWDPAWDKQE-UHFFFAOYSA-N,,,3,small_molecule,,,NALUZOTAN,,NALUZOTAN,,,,,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,"[""Naluzotan"",""Naluzotan"",""Naluzotan"",""PRX-00023""]",[],2026-04-22 04:13:21.051236+00:00,False
,CHEMBL1742408,Small molecule,2026-04-22 04:13:28.285597+00:00,,,,CHEMBL1742408,MEEQBDCQPIZMLY-HNNXBMFYSA-N,,,3,small_molecule,,,OSEMOZOTAN,,OSEMOZOTAN,,,,,c1ccc2c(c1)OC[C@H](CNCCCOc1ccc3c(c1)OCO3)O2,"[""Mkc-242"",""MN-305"",""Osemozotan""]",[],2026-04-22 04:13:28.285597+00:00,False
,CHEMBL3989862,Small molecule,2026-04-22 05:26:14.879449+00:00,,,,CHEMBL3989862,SVCSMAZYWOQCBW-NVJMFHFGSA-N,,,3,small_molecule,,,PEFCALCITOL,,PEFCALCITOL,,,,,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)NCC(F)(F)C(F)(F)F)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O,"[""M-5181"",""M5181"",""M-518101"",""M518101"",""Pefcalcitol"",""Pefcalcitol"",""Pefcalcitol"",""Pefcalcitol""]",[],2026-04-22 05:26:14.879449+00:00,False
,CHEMBL2219416,Small molecule,2026-04-22 05:29:31.284147+00:00,2014,,,CHEMBL2219416,MNYIRXLCPODKLG-VUTNLTPYSA-N,,,4,small_molecule,,,NALOXEGOL OXALATE,,NALOXEGOL OXALATE,,,,,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OCCOCCOCCOCCOCCOCCOCCOC)CC[C@@]3(O)[C@H]1C5.O=C(O)C(=O)O,"[""AZ13337019 oxalate"",""AZ-13337019 OXALATE"",""Movantik"",""Moventig"",""Naloxegol oxalate"",""Naloxegol oxalate"",""Naloxegol oxalate"",""Naloxegol oxalate component of movantik"",""NKTR-118 oxalate"",""NKTR-118-OXALATE""]","[""Movantik"",""Moventig"",""Naloxegol oxalate component of movantik""]",2026-04-22 05:29:31.284147+00:00,False
,CHEMBL690,Small molecule,2026-04-22 05:47:42.296839+00:00,1991,,,CHEMBL690,VWBQYTRBTXKKOG-IYNICTALSA-M,,,4,small_molecule,,,PRAVASTATIN SODIUM,,PRAVASTATIN SODIUM,,,,,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],"[""CS-514"",""Dehypotin protect"",""Elisor"",""Eptastatin sodium"",""Lipemol"",""Liplat"",""Lipostat"",""NSC-759253"",""Pravachol"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium"",""Pravastatin sodium component of pravigard pac"",""SQ-31,000"",""SQ-31000""]","[""Elisor"",""Lipemol"",""Liplat"",""Lipostat"",""Pravachol"",""Pravastatin sodium"",""Pravastatin sodium component of pravigard pac""]",2026-04-22 05:47:42.296839+00:00,False
